Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
OLED,Universal Display Corporation,121.65,$5.73B,,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/oled
UEIC,Universal Electronics Inc.,40.25,$556.69M,1993.0,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/ueic
UFPI,"Universal Forest Products, Inc.",35.14,$2.17B,1993.0,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/ufpi
ULH,"Universal Logistics Holdings, Inc.",36.3,$1.03B,,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/ulh
USAP,"Universal Stainless & Alloy Products, Inc.",26.86,$233.4M,1994.0,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/usap
UVSP,Univest Corporation of Pennsylvania,26.9,$790.96M,,Finance,Major Banks,https://www.nasdaq.com/symbol/uvsp
UPLD,"Upland Software, Inc.",32.86,$708.39M,2014.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/upld
UONE,"Urban One, Inc. ",2.278,$108.42M,,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/uone
UONEK,"Urban One, Inc. ",2.1,$99.95M,,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/uonek
URBN,"Urban Outfitters, Inc.",40.37,$4.41B,1993.0,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/urbn
URGN,UroGen Pharma Ltd.,49.02,$777.13M,2017.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/urgn
ECOL,"US Ecology, Inc.",75.7,$1.66B,,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/ecol
USAT,"USA Technologies, Inc.",8.3,$445.46M,,Miscellaneous,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/usat
USATP,"USA Technologies, Inc.",22.0,$9.79M,,Miscellaneous,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/usatp
USAK,"USA Truck, Inc.",20.09,$167M,1992.0,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/usak
UTMD,"Utah Medical Products, Inc.",94.15,$351.46M,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/utmd
UTSI,UTStarcom Holdings Corp,3.89,$139.63M,2000.0,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/utsi
VLRX,"Valeritas Holdings, Inc.",0.915,$22.74M,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/vlrx
VALX,Validea Market Legends ETF,29.47,$28M,,,,https://www.nasdaq.com/symbol/valx
VALU,"Value Line, Inc.",24.88,$241.07M,1983.0,Finance,Investment Managers,https://www.nasdaq.com/symbol/valu
VNDA,Vanda Pharmaceuticals Inc.,20.45,$1.07B,2006.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vnda
GNRX,VanEck Vectors Generic Drugs ETF,25.45,$3.82M,,,,https://www.nasdaq.com/symbol/gnrx
VIGI,Vanguard International Dividend Appreciation ETF,64.56,$918.38M,,,,https://www.nasdaq.com/symbol/vigi
VYMI,Vanguard International High Dividend Yield ETF,63.53,$991.74M,,,,https://www.nasdaq.com/symbol/vymi
VTC,Vanguard Total Corporate Bond ETF,80.87,$54.59M,,,,https://www.nasdaq.com/symbol/vtc
VEAC,Vantage Energy Acquisition Corp.,10.05,$158.09M,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/veac
VEACU,Vantage Energy Acquisition Corp.,10.6,,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/veacu
VEACW,Vantage Energy Acquisition Corp.,1.35,,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/veacw
VREX,Varex Imaging Corporation,29.5,$1.12B,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/vrex
VRNS,"Varonis Systems, Inc.",72.05,$2.11B,2014.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/vrns
VBLT,Vascular Biogenics Ltd.,1.55,$55.58M,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vblt
VBIV,"VBI Vaccines, Inc.",1.89,$121.68M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/vbiv
VECO,Veeco Instruments Inc.,10.7,$522.07M,1994.0,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/veco
VEON,VEON Ltd.,2.91,$5.09B,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/veon
VRA,"Vera Bradley, Inc.",15.1,$533.88M,2010.0,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/vra
VCYT,"Veracyte, Inc.",10.31,$356.04M,2013.0,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/vcyt
VSTM,"Verastem, Inc.",8.9354,$657.58M,2012.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vstm
